Movie,Year,Genre,IMDB Rating
The Shawshank Redemption,1994,['Drama'],9.3
The Godfather,1972,"['Crime', 'Drama']",9.2
The Dark Knight,2008,"['Action', 'Crime', 'Drama']",9.0
The Godfather: Part II,1974,"['Crime', 'Drama']",9.0
The Lord of the Rings: The Return of the King,2003,"['Adventure', 'Drama', 'Fantasy']",8.9
Pulp Fiction,1994,"['Crime', 'Drama']",8.9
Schindler's List,1993,"['Biography', 'Drama', 'History']",8.9
12 Angry Men,1957,['Drama'],8.9
Inception,2010,"['Action', 'Adventure', 'Sci-Fi']",8.8
Fight Club,1999,['Drama'],8.8
The Lord of the Rings: The Fellowship of the Ring,2001,"['Adventure', 'Drama', 'Fantasy']",8.8
Forrest Gump,1994,"['Drama', 'Romance']",8.8
"The Good, the Bad and the Ugly",1966,['Western'],8.8
Avengers: Endgame,2019,"['Action', 'Adventure', 'Sci-Fi']",8.7
The Lord of the Rings: The Two Towers,2002,"['Adventure', 'Drama', 'Fantasy']",8.7
The Matrix,1999,"['Action', 'Sci-Fi']",8.7
Goodfellas,1990,"['Biography', 'Crime', 'Drama']",8.7
Star Wars: Episode V - The Empire Strikes Back,1980,"['Action', 'Adventure', 'Fantasy']",8.7
One Flew Over the Cuckoo's Nest,1975,['Drama'],8.7
Seven Samurai,1954,"['Adventure', 'Drama']",8.7
Interstellar,2014,"['Adventure', 'Drama', 'Sci-Fi']",8.6
City of God,2002,"['Crime', 'Drama']",8.6
Spirited Away,2001,"['Animation', 'Adventure', 'Family']",8.6
Saving Private Ryan,1998,"['Drama', 'War']",8.6
The Green Mile,1999,"['Crime', 'Drama', 'Fantasy']",8.6
Life Is Beautiful,1997,"['Comedy', 'Drama', 'Romance']",8.6
The Usual Suspects,1995,"['Crime', 'Mystery', 'Thriller']",8.6
Se7en,1995,"['Crime', 'Drama', 'Mystery']",8.6
Léon: The Professional,1994,"['Action', 'Crime', 'Drama']",8.6
The Silence of the Lambs,1991,"['Crime', 'Drama', 'Thriller']",8.6
Star Wars: Episode IV - A New Hope,1977,"['Action', 'Adventure', 'Fantasy']",8.6
It's a Wonderful Life,1946,"['Drama', 'Family', 'Fantasy']",8.6
Dangal,2016,"['Action', 'Biography', 'Drama']",8.5
Spider-Man: Into the Spider-Verse,2018,"['Animation', 'Action', 'Adventure']",8.5
Avengers: Infinity War,2018,"['Action', 'Adventure', 'Sci-Fi']",8.5
Whiplash,2014,"['Drama', 'Music']",8.5
The Intouchables,2011,"['Biography', 'Comedy', 'Drama']",8.5
The Prestige,2006,"['Drama', 'Mystery', 'Sci-Fi']",8.5
The Departed,2006,"['Crime', 'Drama', 'Thriller']",8.5
The Pianist,2002,"['Biography', 'Drama', 'Music']",8.5
Memento,2000,"['Mystery', 'Thriller']",8.5
Gladiator,2000,"['Action', 'Adventure', 'Drama']",8.5
American History X,1998,['Drama'],8.5
The Lion King,1994,"['Animation', 'Adventure', 'Drama']",8.5
Terminator 2: Judgment Day,1991,"['Action', 'Sci-Fi']",8.5
Cinema Paradiso,1988,['Drama'],8.5
Grave of the Fireflies,1988,"['Animation', 'Drama', 'War']",8.5
Back to the Future,1985,"['Adventure', 'Comedy', 'Sci-Fi']",8.5
Raiders of the Lost Ark,1981,"['Action', 'Adventure']",8.5
Apocalypse Now,1979,"['Drama', 'War']",8.5
Alien,1979,"['Horror', 'Sci-Fi']",8.5
Once Upon a Time in the West,1968,['Western'],8.5
Psycho,1960,"['Horror', 'Mystery', 'Thriller']",8.5
Rear Window,1954,"['Mystery', 'Thriller']",8.5
Casablanca,1942,"['Drama', 'Romance', 'War']",8.5
The Great Dictator,1940,"['Comedy', 'Drama', 'War']",8.5
Modern Times,1936,"['Comedy', 'Drama', 'Family']",8.5
City Lights,1931,"['Comedy', 'Drama', 'Romance']",8.5
Andhadhun,2018,"['Crime', 'Thriller']",8.4
Your Name.,2016,"['Animation', 'Drama', 'Fantasy']",8.4
Coco,2017,"['Animation', 'Adventure', 'Comedy']",8.4
Toy Story 4,2019,"['Animation', 'Adventure', 'Comedy']",8.4
Django Unchained,2012,"['Drama', 'Western']",8.4
The Dark Knight Rises,2012,"['Action', 'Thriller']",8.4
3 Idiots,2009,"['Comedy', 'Drama']",8.4
Taare Zameen Par,2007,"['Drama', 'Family']",8.4
WALL·E,2008,"['Animation', 'Adventure', 'Family']",8.4
My Father and My Son,2005,"['Drama', 'Family']",8.4
The Lives of Others,2006,"['Drama', 'Thriller']",8.4
Oldboy,2003,"['Action', 'Drama', 'Mystery']",8.4
American Beauty,1999,['Drama'],8.4
Princess Mononoke,1997,"['Animation', 'Adventure', 'Fantasy']",8.4
Braveheart,1995,"['Biography', 'Drama', 'History']",8.4
Aliens,1986,"['Action', 'Adventure', 'Sci-Fi']",8.4
Once Upon a Time in America,1984,"['Crime', 'Drama']",8.4
Das Boot,1981,"['Adventure', 'Drama', 'Thriller']",8.4
The Shining,1980,"['Drama', 'Horror']",8.4
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,['Comedy'],8.4
Witness for the Prosecution,1957,"['Crime', 'Drama', 'Mystery']",8.4
Paths of Glory,1957,"['Drama', 'War']",8.4
Sunset Blvd.,1950,"['Drama', 'Film-Noir']",8.4
The Hunt,2012,['Drama'],8.3
A Separation,2011,"['Drama', 'Thriller']",8.3
Incendies,2010,"['Drama', 'Mystery', 'War']",8.3
Toy Story 3,2010,"['Animation', 'Adventure', 'Comedy']",8.3
Inglourious Basterds,2009,"['Adventure', 'Drama', 'War']",8.3
Eternal Sunshine of the Spotless Mind,2004,"['Drama', 'Romance', 'Sci-Fi']",8.3
Amélie,2001,"['Comedy', 'Romance']",8.3
Snatch,2000,"['Comedy', 'Crime']",8.3
Requiem for a Dream,2000,['Drama'],8.3
L.A. Confidential,1997,"['Crime', 'Drama', 'Mystery']",8.3
Good Will Hunting,1997,"['Drama', 'Romance']",8.3
Children of Heaven,1997,"['Drama', 'Family']",8.3
The Bandit,1996,"['Crime', 'Drama', 'Thriller']",8.3
Toy Story,1995,"['Animation', 'Adventure', 'Comedy']",8.3
Reservoir Dogs,1992,"['Crime', 'Drama', 'Thriller']",8.3
Full Metal Jacket,1987,"['Drama', 'War']",8.3
Amadeus,1984,"['Biography', 'Drama', 'History']",8.3
Scarface,1983,"['Crime', 'Drama']",8.3
Star Wars: Episode VI - Return of the Jedi,1983,"['Action', 'Adventure', 'Fantasy']",8.3
Taxi Driver,1976,"['Crime', 'Drama']",8.3
Monty Python and the Holy Grail,1975,"['Adventure', 'Comedy', 'Fantasy']",8.3
The Sting,1973,"['Comedy', 'Crime', 'Drama']",8.3
A Clockwork Orange,1971,"['Crime', 'Drama', 'Sci-Fi']",8.3
2001: A Space Odyssey,1968,"['Adventure', 'Sci-Fi']",8.3
For a Few Dollars More,1965,['Western'],8.3
To Kill a Mockingbird,1962,"['Crime', 'Drama']",8.3
Lawrence of Arabia,1962,"['Adventure', 'Biography', 'Drama']",8.3
Yojimbo,1961,"['Action', 'Drama', 'Thriller']",8.3
